Date,Comments,Topic,Sentiment
12/27/2024,আমার এলাকায় বনশ্রীতে খবর বেশি একটা ভালো না,others,negative
12/24/2024,৬৫ পদের মশলা দেখছে ও একসাথে! বিশ্ব চাপাবাজ! আমার বাসার যে রেয়ার মশলা আইটেম আছে তা হিসাব করলেও সর্বোচ্চ ২৫-৩০ আইটেমের মশলা হতে পারে।,food,negative
12/11/2024,ফাহিম ভাইয়ের ব্লগ আমার ঘরনি পছন্দ করে,others,positive
12/17/2024,বাচ্চাদের সাথে আপনার ব্যবহার খুব সুন্দর লাগলো,others,positive
12/12/2024,মাংসে সর্বোচ্চ ৩০ প্রকারের  মসলা যেটা ব্যবহার করা যায়। আর উনি বাদাম কে মসলা বলে চালায় দিল । সব ধরনের মসলা গরুর গোস্তে ব্যবহার করা যায় না।,food,negative
1/22/2025,খুব সুন্দর আমার দেখেই তো জিবে মুখে জল চলে আসছে,food,positive
1/6/2025,এক হাড়ি কত টাকা,others,neutral
12/24/2024,এত রসুন দিলে তো রসুনের দাম বাড়িয়ে দিবেন,food,negative
12/14/2024,টাকাপাঠান,others,neutral
1/7/2025,রাজশাহী থেকে। আসবেন আমার পরিবার এ।,others,neutral
5/3/2025,ঢাকার ভিতরে পাওয়া যায়?,others,neutral
12/24/2024,মাংস কি অরজিনিয়াল। না মরা গরুর মাংস। গরু জব করতে কেউ কি দেখেছে। মাংস গুলো কোথায় থেকে আসে সেই টা তদন্ত করে দেখা দরকার।,food,negative
12/18/2024,শেফ ভাই কে ওভার স্মাট মনে হল।,food,negative
12/19/2024,১৯ ডিসেম্বর আমার বার্ষিক পরীক্ষার Result প্রকাশিত হবেদোয়া করবেন আমি যেন অনেক ভালো একটা Result অর্জন করতে পারি।।।  শুনেছিকোন দোয়া করলে ৪০ জন আমিন বললে নাকি দোয়াটি কবুল হয়আমার জন্য দোয়া করবেন।।।,education,neutral
5/19/2025,ভাইরে ৬৫ পদের মসলা দিলে এটা খায়ার উপজুগি হবে নাবন্ড আবেশ হুটেল,food,negative
1/17/2025,খাবার  একটুও মজা না।আমার রিকশা  ভাড়াটাই বেকার।,food,negative
5/22/2025,এগুলো খাওয়া থেকে বিরত থাকুনবিপদে পরে যদি খাইতে হয় তাহলে ছোটো দোকান গুলোতে খাবেনএর চাইতে হাজার গুনো ভালো হবে।একমত হলে লাইক দিবেন,food,negative
5/22/2025,একটু ও ভালো লাগেনা আমি আনিয়েছিলাম সুধু তেল চর্বি আর কাচা মসলার গন্ধ টোটালি টাকা লস,food,negative
12/14/2024,পূর্বাচল জয় বাংলা চত্তর নাগা সিংগাড়া পাওয়া যায় সময় হলে সেখানে গিয়ে সিংগাড়া টা রিবিও দিয়েন,food,neutral
1/12/2025,এক হান্ডির দাম কতো?,food,neutral
2/1/2025,08:34 সাব্বির ভাইয়ের হাতের মাংস খাবেন ভাই!,food,neutral
12/13/2024,ভাই এই হানডি আর ডেকসি তে রান্নার তফাত টা কি,food,neutral
12/11/2024,সুন্দর,others,positive
12/11/2024,হারামসুরের টাকা ছাড়া চার পিস ২৭০ টাকা দিয়া খাওয়া ঠিক না,food,negative
12/11/2024,সব আইটেমের রেট একটু বেশি।,food,negative
12/11/2024,ইনশাহ্‌ আল্লাহ্‌ যাবো,religious,positive
12/11/2024,যেগুলোর নাম বলছে ওইগুলো দেয়া হয় না সব বাটপারি মিথ্যা কথা,others,negative
2/2/2025,টাকার পুটকি মারার মেশিন লাগাইছে,abusive,hate
1/11/2025,৬৫ আাইটেম দিয়া রান্না কর আর যাই কর ইনশাআল্লাহ আমি আমাদের রান্নার ব্যবহৃত সাধারণত মসলা দিয়ে রান্না করলে ও ঠিক এমনই স্বাদ হবে।,food,neutral
12/14/2024,পাঠাশেন,others,neutral
12/11/2024,বাটপারি ৬৫ প্রকার মশলা দিলে তার দাম হবে ২ হাজার টাকা,food,negative
12/13/2024,হান্ডি বিফ আহামরি কোন সাদ না,food,negative
5/21/2025,এ লোকটাকে ঘু দিলেও টাকা খেয়ে বলবে ভাল,abusive,hate
12/11/2024,আমি,others,neutral
5/19/2025,এটা কুন হান্ডি বিফ এর নিয়মে পরে নাহেরে মন গড়া এই ভাবে রান্না করছে,food,negative
1/14/2025,খাওয়ার স্টাইল টা বদলান উচিত অনেকটা খাদকের মত খাওয়া কোনো ভদ্রতা নেই গরুর মত আওয়াজ করে খাওয়া। অনেক বেশি কথা বলে কিপটামি খুব চরম। আরে বাপ এই খাবার টাকা টা তো আসে এই ভিডিও বেচে। মার্কিং টা খুব বিজ্ঞের মত করা যদিও তেমন কোনো পূর্ব অভিজ্ঞতা নেই।,food,hate
12/27/2024,দাম তো না যেনো আকাশ ছোঁয়া,others,negative
12/11/2024,আমরা তো জানি হান্ডি গোস্ত তো পাকিস্তানি রেসিপি,food,neutral
12/11/2024,সব সালায় বাটপার কেমেরার সামনে আইসা বলে ৬০৬৫ রকম মসল্লা,abusive,hate
